Symbol,Company Name,Nifty 50,Nifty 100,Nifty Total Market,Nifty Midcap 150,Nifty Midcap 100,Nifty Smallcap 250,Nifty Smallcap 500
GAIL,GAIL (India) Ltd.,No,Yes,Yes,No,No,No,No
GALLANTT,Gallantt Ispat Ltd.,No,No,Yes,No,No,Yes,Yes
GESHIP,Great Eastern Shipping Co. Ltd.,No,No,Yes,No,No,Yes,Yes
GHCL,GHCL Ltd.,No,No,Yes,No,No,No,Yes
GICRE,General Insurance Corporation of India,No,No,Yes,Yes,No,No,No
GILLETTE,Gillette India Ltd.,No,No,Yes,No,No,Yes,Yes
GLAND,Gland Pharma Ltd.,No,No,Yes,No,No,Yes,Yes
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,No,No,Yes,Yes,No,No,No
GLENMARK,Glenmark Pharmaceuticals Ltd.,No,No,Yes,Yes,Yes,No,No
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,No,No,Yes,No,No,Yes,Yes
GMMPFAUDLR,GMM Pfaudler Ltd.,No,No,Yes,No,No,No,Yes
GMRAIRPORT,GMR Airports Ltd.,No,No,Yes,Yes,Yes,No,No
GMRP&UI,GMR Power and Urban Infra Ltd.,No,No,Yes,No,No,No,Yes
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,No,No,Yes,No,No,No,Yes
GODFRYPHLP,Godfrey Phillips India Ltd.,No,No,Yes,Yes,Yes,No,No
GODIGIT,Go Digit General Insurance Ltd.,No,No,Yes,No,No,Yes,Yes
GODREJAGRO,Godrej Agrovet Ltd.,No,No,Yes,No,No,No,Yes
GODREJCP,Godrej Consumer Products Ltd.,No,Yes,Yes,No,No,No,No
GODREJIND,Godrej Industries Ltd.,No,No,Yes,Yes,No,No,No
GODREJPROP,Godrej Properties Ltd.,No,No,Yes,Yes,Yes,No,No
GOKEX,Gokaldas Exports Ltd.,No,No,Yes,No,No,No,Yes
GOKULAGRO,Gokul Agro Resources Ltd.,No,No,Yes,No,No,No,Yes
GPIL,Godawari Power & Ispat Ltd.,No,No,Yes,No,No,Yes,Yes
GPPL,Gujarat Pipavav Port Ltd.,No,No,Yes,No,No,No,Yes
GRANULES,Granules India Ltd.,No,No,Yes,No,No,Yes,Yes
GRAPHITE,Graphite India Ltd.,No,No,Yes,No,No,Yes,Yes
GRASIM,Grasim Industries Ltd.,Yes,Yes,Yes,No,No,No,No
GRAVITA,Gravita India Ltd.,No,No,Yes,No,No,Yes,Yes
GREAVESCOT,Greaves Cotton Ltd.,No,No,Yes,No,No,No,Yes
GRINDWELL,Grindwell Norton Ltd.,No,No,Yes,No,No,No,Yes
GROWW,Billionbrains Garage Ventures Ltd.,No,No,Yes,Yes,Yes,No,No
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,No,No,Yes,No,No,Yes,Yes
GRWRHITECH,Garware Hi-Tech Films Ltd.,No,No,Yes,No,No,No,Yes
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,No,No,Yes,No,No,No,Yes
GVT&D,GE Vernova T&D India Ltd.,No,No,Yes,Yes,Yes,No,No
HAL,Hindustan Aeronautics Ltd.,No,Yes,Yes,No,No,No,No
HAPPSTMNDS,Happiest Minds Technologies Ltd.,No,No,Yes,No,No,No,Yes
HATSUN,Hatsun Agro Product Ltd.,No,No,No,No,No,No,Yes
HAVELLS,Havells India Ltd.,No,No,Yes,Yes,Yes,No,No
HBLENGINE,HBL Engineering Ltd.,No,No,Yes,No,No,Yes,Yes
HCC,Hindustan Construction Co. Ltd.,No,No,Yes,No,No,No,Yes
HCG,Healthcare Global Enterprises Ltd.,No,No,Yes,No,No,No,Yes
HCLTECH,HCL Technologies Ltd.,Yes,Yes,Yes,No,No,No,No
HDBFS,HDB Financial Services Ltd.,No,No,Yes,Yes,No,No,No
HDFCAMC,HDFC Asset Management Company Ltd.,No,Yes,Yes,No,No,No,No
HDFCBANK,HDFC Bank Ltd.,Yes,Yes,Yes,No,No,No,No
HDFCLIFE,HDFC Life Insurance Company Ltd.,Yes,Yes,Yes,No,No,No,No
HEG,,No,No,Yes,No,No,No,No
HEGAM,HEG Advanced Materials Ltd.,No,No,No,No,No,Yes,Yes
HEMIPROP,Hemisphere Properties India Ltd.,No,No,Yes,No,No,No,Yes
HERITGFOOD,Heritage Foods Ltd.,No,No,Yes,No,No,No,Yes
HEROMOTOCO,Hero MotoCorp Ltd.,No,No,Yes,Yes,Yes,No,No
HEXT,Hexaware Technologies Ltd.,No,No,Yes,Yes,No,No,No
HFCL,HFCL Ltd.,No,No,Yes,No,No,Yes,Yes
HGINFRA,H.G. Infra Engineering Ltd.,No,No,Yes,No,No,No,Yes
HINDALCO,Hindalco Industries Ltd.,Yes,Yes,Yes,No,No,No,No
HINDCOPPER,Hindustan Copper Ltd.,No,No,Yes,No,No,Yes,Yes
HINDPETRO,Hindustan Petroleum Corporation Ltd.,No,No,Yes,Yes,Yes,No,No
HINDUNILVR,Hindustan Unilever Ltd.,Yes,Yes,Yes,No,No,No,No
HINDZINC,Hindustan Zinc Ltd.,No,Yes,Yes,No,No,No,No
HOMEFIRST,Home First Finance Company India Ltd.,No,No,Yes,No,No,Yes,Yes
HONASA,Honasa Consumer Ltd.,No,No,Yes,No,No,Yes,Yes
HONAUT,Honeywell Automation India Ltd.,No,No,Yes,Yes,No,No,No
HSCL,Himadri Speciality Chemical Ltd.,No,No,Yes,No,No,Yes,Yes
HUDCO,Housing & Urban Development Corporation Ltd.,No,No,Yes,Yes,Yes,No,No
HYUNDAI,Hyundai Motor India Ltd.,No,Yes,Yes,No,No,No,No
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,No,No,Yes,Yes,Yes,No,No
ICICIBANK,ICICI Bank Ltd.,Yes,Yes,Yes,No,No,No,No
ICICIGI,ICICI Lombard General Insurance Company Ltd.,No,No,Yes,Yes,Yes,No,No
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,No,No,Yes,Yes,No,No,No
ICIL,Indo Count Industries Ltd.,No,No,Yes,No,No,No,Yes
IDBI,IDBI Bank Ltd.,No,No,Yes,No,No,Yes,Yes
IDEA,Vodafone Idea Ltd.,No,No,Yes,Yes,Yes,No,No
IDFCFIRSTB,IDFC First Bank Ltd.,No,No,Yes,Yes,Yes,No,No
IEX,Indian Energy Exchange Ltd.,No,No,Yes,No,No,Yes,Yes
IFBIND,IFB Industries Ltd.,No,No,Yes,No,No,No,Yes
IFCI,IFCI Ltd.,No,No,Yes,No,No,Yes,Yes
IGIL,International Gemological Institute Ltd.,No,No,Yes,No,No,Yes,Yes
IGL,Indraprastha Gas Ltd.,No,No,Yes,No,No,Yes,Yes
IIFL,IIFL Finance Ltd.,No,No,Yes,No,No,Yes,Yes
IIFLCAPS,IIFL Capital Services Ltd.,No,No,Yes,No,No,No,Yes
IKS,Inventurus Knowledge Solutions Ltd.,No,No,Yes,No,No,Yes,Yes
IMFA,Indian Metals & Ferro Alloys Ltd.,No,No,Yes,No,No,No,Yes
